date,age,gender,dominant_race,dominant_emotion,region.x,region.y,region.w,region.h,race.asian,race.indian,race.black,race.white,race.middle eastern,race.latino hispanic,emotion.angry,emotion.disgust,emotion.fear,emotion.happy,emotion.sad,emotion.surprise,emotion.neutral
2000Aug.png,30,Woman,asian,neutral,384,194,268,268,79.1928231716156,0.4325942136347294,0.35580091644078493,13.977840542793274,2.5828221812844276,3.458123654127121,0.3636587643995881,3.542080762031219e-06,8.499161899089813,0.0351883441908285,0.8010230958461761,10.46922504901886,79.83173727989197
2000Feb.png,32,Woman,white,neutral,413,230,471,471,0.0004506807540890931,0.04087202494573742,0.00015423482646650298,77.23021967591164,21.129356093964343,1.598948521849425,0.12342491811291359,2.8731031903627067e-06,0.7423398131323083,2.3009744523794113,0.2973061399020386,2.6782995622396992,93.85764672068993
2000Jun.png,40,Woman,white,neutral,615,223,256,256,14.915721118450165,8.59101340174675,5.383099988102913,27.88192331790924,15.658701956272125,27.569541335105896,0.2189815742895007,3.020461178948608e-05,1.776444911956787,2.8172574937343597,3.469318524003029,0.3179210936650634,91.40005111694336
2000May.png,30,Woman,white,fear,668,233,180,180,4.892634227871895,4.014031961560249,2.3966889828443527,40.15843868255615,14.516647160053253,34.021565318107605,5.259280279278755,0.4878173116594553,66.82265996932983,0.3446224145591259,11.907605081796646,0.24251940194517374,14.93549793958664
2000Sep.png,26,Woman,latino hispanic,happy,540,203,271,271,6.611095368862152,8.62572267651558,3.792274370789528,29.08904254436493,19.627662003040314,32.25420415401459,1.9788790831670733e-10,2.343171478381519e-16,2.0080312412851242e-09,99.87092018127441,1.0194717070532988e-06,5.22617540354986e-05,0.12902864255011082
2000Apr.png,31,Woman,white,fear,296,218,276,276,4.192525295820815e-05,3.698657735640154e-06,1.5651537843552887e-07,99.96302127838135,0.014245951024349779,0.022685037401970476,7.119031995534897,0.13711295323446393,78.72574925422668,0.008617559797130525,11.30707636475563,0.7806085515767336,1.9218077883124352
2000Dec.png,32,Man,asian,happy,934,470,52,52,38.9276921749115,5.8454494923353195,4.147122427821159,23.18279594182968,12.929944694042206,14.966998994350433,5.6944097634085104e-05,9.419875164035859e-09,9.682361268101638e-07,99.99379515610904,0.006147274328093563,2.698660622616743e-08,2.2921554910339658e-07
2000Mar.png,33,Woman,white,neutral,423,154,219,219,0.00014808640317368418,0.0002386309376005712,3.7433817922885914e-05,99.790978419243,0.07135354524164171,0.13724302061233049,0.7027720101177692,0.024824353749863803,21.93506509065628,15.167112648487091,3.2463401556015015,0.8069598115980625,58.11692476272583
2000Oct.png,30,Woman,asian,happy,422,154,175,175,32.61337876319885,9.695642441511154,2.757803536951542,17.438066005706787,6.736656278371811,30.758455395698547,1.6506225539429637e-11,2.3121341946844213e-23,1.463629477307101e-14,99.9999463558165,3.0515281927403534e-12,2.3535959030126707e-07,5.6264875581632516e-05
2000Nov.png,32,Woman,white,neutral,420,162,184,184,17.288674414157867,0.87566077709198,0.24742784444242716,67.97310709953308,3.9493627846240997,9.665772318840027,0.25774230388506075,0.048313202538569425,13.824553121599742,1.715342430194761,7.347427746500238,0.06670165855335644,76.73991779922949
2000Jul.png,32,Woman,white,happy,419,132,195,195,1.5682028606534004,0.3598591545596719,0.9252816438674927,81.86026215553284,4.850425198674202,10.435967892408371,2.0586748903199963,0.0034072434785203847,4.766468242792382,58.67107264227108,1.4863840258946435,32.67491356580934,0.3390860713101072
2004Oct.png,32,Woman,latino hispanic,happy,346,121,220,220,23.11840057373047,19.235795736312866,10.829466581344604,10.997867584228516,10.407828539609909,25.410640239715576,0.24976865388453007,0.00012582898989421665,0.0066906090069096535,70.30279636383057,0.10664776200428605,0.00801658898126334,29.325950145721436
2004Jul.png,31,Woman,white,sad,386,87,241,241,38.25038969516754,8.972267551143887e-06,5.7787119533969644e-08,61.746037006378174,0.0025303379516117275,0.0010310632205801085,0.30897778924554586,2.5203841236276503e-07,12.226548045873642,0.005108568075229414,56.55646324157715,0.0024223534637712874,30.900484323501587
