date,age,gender,dominant_race,dominant_emotion,region.x,region.y,region.w,region.h,race.asian,race.indian,race.black,race.white,race.middle eastern,race.latino hispanic,emotion.angry,emotion.disgust,emotion.fear,emotion.happy,emotion.sad,emotion.surprise,emotion.neutral
1959Jan.png,43,Man,white,happy,566,709,72,72,0.005742834400734864,0.08743263897486031,0.0001012494294627686,92.72052049636841,6.360684335231781,0.8255223743617535,0.033116055419668555,2.5849906727671623,14.166611433029175,71.8205451965332,6.144411116838455,0.011579927377169952,5.238746851682663
1959Feb.png,38,Man,white,happy,307,841,36,36,8.331307520710526,1.7745863393442227,1.1048664884428396,57.14746032387491,21.760610132144674,9.881163700680291,0.00018136082644559792,5.044407599963385e-09,0.02292448334628716,66.63187742233276,0.07744051981717348,0.0051631224778248,33.26241374015808
1959Mar.png,33,Man,white,happy,360,187,112,112,0.16511990508779317,0.09139264547184976,0.004492932106994702,86.89309280473547,6.234812363076947,6.61109278268175,2.2342620198401164e-06,1.4563417138901968e-08,0.008503885328536853,57.57904648780823,0.007202213600976393,0.0004953538791596657,42.40475594997406
1959Jun.png,31,Woman,white,happy,297,312,81,81,1.058475776302169e-05,1.8456447679342535e-05,3.437399954577803e-08,99.85612036512848,0.10066928771727827,0.04317506458479141,3.846709666836638e-12,1.8982761788356804e-23,1.1169231907632096e-11,99.9262273311615,8.216181207609807e-10,0.06261873058974743,0.01115104096243158
1959May.png,35,Man,white,fear,186,644,117,117,0.12226567775941756,0.31213949904418004,0.014534458473407957,72.73987856627959,16.830960889940155,9.980218412850093,25.81354369955734,0.012969554427449622,66.38741297871911,0.9485409395645928,2.548894168568353,0.002534253206095276,4.286094989050032
1955Jun.png,29,Woman,white,sad,376,402,93,93,26.3814971674381,1.8147570231412067,0.6945797656226018,47.18624038614276,9.128706701320809,14.794217931879636,0.014946803275961429,0.0009392098036187235,27.910512685775757,0.0008039495696721133,70.6658124923706,3.167770401546477e-06,1.4069776982069016
1955Sep.png,38,Man,white,neutral,820,486,60,60,5.122595958268401,0.3500675991217851,2.4545382308684727,75.48729035182538,15.914542431506064,0.6709632398017191,3.5319730639457703,0.00046648119678138755,0.7851799950003624,1.0742547921836376,4.5896027237176895,0.002250906800327357,90.01627564430237
1955Nov.png,32,Woman,white,happy,667,282,171,171,8.76658633351326,8.025193959474564,2.25187037140131,31.581169366836548,22.745943069458008,26.629236340522766,0.004268874181434512,1.688711250835695e-05,0.0397169787902385,75.32026171684265,0.0996790244244039,0.5475757643580437,23.98848980665207
1955Feb.png,38,Man,white,angry,3,681,60,60,0.08849470868956046,0.0647336807698839,0.0855127771425662,88.83985414029907,9.523823467037264,1.3975856090980041,34.0067982673645,1.8685470948298644e-07,24.026283621788025,0.16619220841675997,18.653540313243866,0.0004532125331024872,23.146729171276093
1955Oct.png,32,Man,white,fear,285,392,153,153,0.24494772374318383,0.020051870991773666,0.0017784391425737227,95.87535833569517,2.031113514668555,1.8267505959719774,1.309236388264464,0.0001712971288291167,77.59840817432502,9.24062541015451,9.458163763065787,1.1606927482119498,1.2327091375242636
1955Jan.png,35,Woman,white,happy,180,809,43,43,0.2535184077449551,0.6043089298982703,0.028247505085840216,66.38478441419787,18.819814167044857,13.909321855387466,8.16070322429141e-07,8.783566235459617e-09,0.00036939031815563794,99.97618794441223,0.0008758627700444777,7.383382580883335e-05,0.022493414871860296
